architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open
hybrid,on_prem,mixed,33,1,99.85,105.22,0.85,1.21,14.37,84.59,7.1,0.12,184.93,359.09,0.53,0,0,0
microservices,hybrid,async,40,2,99.09,126.7,0.63,3.78,3.4,100.0,27.52,0.0,257.38,462.32,0.02,0,0,0
serverless,hybrid,sync,32,1,122.74,16.86,0.63,2.27,2.71,20.6,4.23,0.84,111.24,230.55,2.36,0,0,0
event_driven,cloud,sync,8,1,79.72,54.49,0.43,1.04,11.53,49.47,11.37,0.0,136.09,190.71,0.15,0,0,0
hybrid,cloud,mixed,50,1,73.35,7.24,0.87,2.25,10.64,0.0,33.91,0.0,253.21,383.14,0.14,0,0,0
monolith,hybrid,sync,4,1,51.01,92.4,0.67,2.84,2.18,67.99,14.45,0.0,102.98,183.46,0.0,0,0,0
hybrid,hybrid,mixed,22,1,137.48,81.45,0.75,2.06,8.91,72.24,62.25,0.0,444.11,805.83,0.1,0,0,0
hybrid,hybrid,mixed,5,1,132.08,79.16,0.43,3.44,21.43,70.08,13.96,0.2,215.49,348.15,1.02,0,0,0
monolith,hybrid,mixed,4,1,125.76,91.4,0.42,2.53,5.66,69.09,0.99,0.17,93.16,155.41,0.34,0,0,0
event_driven,cloud,mixed,53,2,47.47,36.74,0.81,1.52,4.83,19.68,116.34,0.0,422.83,745.13,0.03,0,0,0
monolith,on_prem,mixed,4,1,27.49,90.67,0.67,1.38,0.0,73.25,3.43,0.16,95.29,169.98,0.28,0,0,0
event_driven,cloud,mixed,37,2,282.96,35.19,0.42,3.0,20.35,19.91,5.6,0.27,107.76,159.49,1.05,0,0,0
hybrid,hybrid,mixed,11,1,746.37,31.92,0.49,3.17,66.21,31.91,29.52,0.86,334.92,662.13,7.33,0,0,0
microservices,cloud,mixed,13,1,145.78,59.53,0.49,1.92,11.48,48.27,23.03,0.93,203.13,366.77,2.6,0,0,0
event_driven,on_prem,mixed,35,1,276.53,45.85,0.41,3.95,31.47,38.69,57.32,0.0,291.5,512.74,1.09,0,0,0
event_driven,on_prem,async,13,1,199.51,37.67,0.59,1.06,24.05,35.53,1.16,0.48,110.22,192.71,1.69,0,0,0
monolith,cloud,async,2,1,145.55,128.62,0.62,1.82,17.53,100.0,4.1,0.36,136.01,186.71,0.93,0,0,0
serverless,cloud,sync,53,2,139.91,108.37,0.64,1.39,11.29,94.92,3.2,0.0,176.54,259.31,0.18,0,0,0
event_driven,cloud,sync,31,1,73.34,65.89,0.55,3.8,0.0,51.94,20.4,0.28,155.54,305.21,0.62,0,0,0
hybrid,cloud,async,33,2,29.45,8.41,0.69,2.48,0.0,11.66,5.64,0.0,108.9,224.33,0.0,0,0,0
microservices,cloud,sync,14,1,55.07,35.84,0.92,3.06,9.17,34.8,74.21,0.74,395.19,502.6,2.04,0,0,0
event_driven,on_prem,async,47,3,207.12,97.04,0.69,1.61,12.48,93.65,64.04,0.0,332.42,637.61,0.17,0,0,0
serverless,on_prem,async,44,3,117.83,63.08,0.72,2.92,2.17,53.35,5.99,0.99,138.53,219.43,2.78,0,0,0
hybrid,hybrid,mixed,39,2,359.4,127.26,0.51,2.35,30.86,100.0,9.27,0.46,231.26,448.4,2.25,0,0,0
event_driven,hybrid,sync,35,2,507.94,33.44,0.73,2.33,37.77,36.11,77.52,0.07,359.66,544.16,1.73,0,0,0
serverless,hybrid,mixed,26,1,92.34,127.15,0.44,1.56,9.45,100.0,28.85,0.02,230.47,470.34,0.19,0,0,0
event_driven,on_prem,async,41,3,179.35,18.91,0.41,2.47,17.91,17.44,13.53,0.0,126.88,209.09,0.35,0,0,0
event_driven,hybrid,async,39,1,56.4,26.22,0.83,3.63,0.0,6.05,7.99,0.16,86.58,128.51,0.36,0,0,0
serverless,on_prem,sync,42,3,103.99,102.35,0.88,3.62,8.28,82.64,28.16,0.89,212.5,328.81,2.58,0,0,0
event_driven,on_prem,sync,25,1,150.71,11.48,0.72,3.25,13.18,15.64,19.56,0.39,138.24,247.96,1.05,0,0,0
microservices,hybrid,sync,23,1,157.22,143.74,0.84,1.17,1.12,100.0,15.95,0.0,209.63,426.32,0.0,0,0,0
event_driven,hybrid,async,8,1,43.0,126.06,0.47,1.81,0.0,100.0,31.73,0.17,230.55,348.93,0.37,0,0,0
microservices,hybrid,async,53,1,126.99,44.77,0.78,2.13,19.87,41.77,31.05,0.47,240.13,315.51,1.73,0,0,0
hybrid,on_prem,sync,16,1,151.24,118.18,0.8,1.24,13.6,95.27,22.92,0.14,272.61,377.67,0.56,0,0,0
monolith,hybrid,async,4,1,277.08,95.91,0.87,3.82,17.61,71.09,132.79,0.75,239.49,375.21,1.63,0,0,0
serverless,cloud,async,20,1,81.36,121.81,0.6,2.19,14.3,100.0,13.63,0.84,205.31,383.01,2.64,0,0,0
microservices,on_prem,async,16,1,169.74,79.42,0.76,1.69,24.15,59.24,23.51,0.37,229.34,392.25,1.71,0,0,0
event_driven,cloud,mixed,26,1,90.16,121.4,0.64,1.94,5.72,100.0,111.24,0.16,472.92,871.46,0.39,0,0,0
serverless,cloud,mixed,15,1,168.65,37.46,0.49,3.56,17.64,20.26,12.62,0.0,143.02,215.12,0.44,0,0,0
hybrid,on_prem,async,22,1,81.03,48.37,0.63,1.48,8.12,34.26,1.43,0.31,109.07,181.92,0.82,0,0,0
serverless,hybrid,async,34,1,161.92,132.29,0.92,2.08,16.82,100.0,32.51,1.09,246.07,342.99,3.46,0,0,0
monolith,hybrid,async,3,1,55.56,22.35,0.63,2.65,10.01,18.01,15.61,0.0,73.23,102.5,0.09,0,0,0
hybrid,hybrid,async,9,1,234.79,23.04,0.91,3.13,23.17,20.06,13.54,0.31,177.43,232.1,1.4,0,0,0
hybrid,hybrid,sync,51,2,265.64,109.74,0.61,1.35,16.69,99.75,45.61,1.08,393.72,709.11,2.94,0,0,0
hybrid,on_prem,sync,48,3,226.03,83.36,0.73,3.93,23.91,68.62,46.11,0.31,378.29,679.17,1.43,0,0,0
microservices,on_prem,mixed,14,1,122.42,49.97,0.92,3.97,10.67,48.09,13.28,0.0,163.12,291.12,0.15,0,0,0
microservices,hybrid,async,22,1,119.25,31.82,0.89,3.03,20.09,30.2,40.58,0.0,269.99,539.49,0.52,0,0,0
microservices,hybrid,mixed,34,1,143.62,92.26,0.92,3.65,7.53,69.88,52.86,0.24,335.95,624.7,0.69,0,0,0
event_driven,on_prem,async,49,3,58.9,74.35,0.81,3.74,9.11,75.81,62.78,0.0,309.45,437.23,0.09,0,0,0
microservices,on_prem,sync,16,1,274.96,18.34,0.42,1.02,30.68,8.32,9.21,0.84,144.93,299.59,3.42,0,0,0
microservices,cloud,sync,58,1,444.84,54.11,0.94,1.92,37.43,44.89,24.24,0.0,240.17,501.65,1.82,0,0,0
event_driven,on_prem,mixed,15,1,237.83,15.04,0.83,1.31,23.9,21.25,0.83,0.87,99.02,132.92,2.53,0,0,0
monolith,cloud,async,2,1,60.31,115.45,0.6,3.29,4.05,87.53,45.89,0.6,152.59,183.51,1.09,0,0,0
serverless,hybrid,async,17,1,251.22,139.54,0.5,2.92,17.85,100.0,29.25,0.84,240.81,400.77,2.8,0,0,0
microservices,on_prem,mixed,36,2,71.28,60.53,0.41,3.34,3.15,44.52,1.22,0.01,105.19,181.83,0.03,0,0,0
serverless,cloud,async,39,2,436.16,104.11,0.58,1.09,34.43,87.94,27.48,0.33,249.37,368.28,2.58,0,0,0
hybrid,hybrid,mixed,34,2,213.55,6.66,0.77,2.73,19.97,0.0,27.78,0.98,233.49,283.24,2.84,0,0,0
hybrid,on_prem,async,12,1,55.47,68.77,0.7,1.17,0.15,39.42,13.95,0.0,169.46,283.3,0.0,0,0,0
monolith,cloud,mixed,3,1,44.57,17.89,0.88,3.45,5.85,15.36,99.04,0.51,150.97,261.29,0.96,0,0,0
microservices,on_prem,sync,20,1,235.23,137.05,0.91,3.46,9.51,100.0,16.9,0.77,220.43,372.2,2.11,0,0,0
serverless,hybrid,sync,52,2,44.44,121.01,0.82,1.88,2.93,94.23,20.57,0.0,202.93,336.15,0.01,0,0,0
event_driven,hybrid,async,57,2,372.49,110.2,0.9,2.94,29.97,83.57,97.63,0.0,446.89,823.38,0.99,0,0,0
event_driven,cloud,async,42,1,363.91,130.6,0.68,1.23,25.54,100.0,20.29,0.61,223.22,387.79,2.05,0,0,0
microservices,on_prem,async,18,1,210.78,60.05,0.61,3.02,13.41,58.15,38.26,0.26,274.06,452.34,0.9,0,0,0
serverless,on_prem,mixed,27,1,148.28,148.17,0.73,2.99,10.76,100.0,65.8,0.58,305.74,622.6,1.79,0,0,0
microservices,hybrid,async,7,1,101.25,82.78,0.85,3.89,11.18,67.32,62.26,1.83,375.13,545.86,4.91,0,0,0
hybrid,hybrid,sync,14,1,198.68,85.55,0.44,3.88,13.61,70.54,13.48,0.0,203.89,312.31,0.22,0,0,0
event_driven,on_prem,sync,57,4,313.92,146.35,0.58,3.75,20.31,100.0,9.93,0.0,185.19,229.26,0.45,0,0,0
monolith,on_prem,async,2,1,223.04,86.48,0.41,3.88,20.86,66.69,5.13,0.92,112.24,140.14,2.05,0,0,0
serverless,cloud,async,31,2,159.43,88.66,0.43,1.53,12.94,78.02,25.94,1.8,208.99,311.35,5.27,0,0,0
microservices,on_prem,sync,5,1,242.43,38.83,0.44,3.72,11.66,22.66,29.9,0.08,212.05,303.12,0.38,0,0,0
microservices,hybrid,sync,11,1,83.3,42.49,0.67,2.59,5.4,35.59,87.42,0.0,445.06,864.95,0.04,0,0,0
monolith,on_prem,sync,3,1,755.26,19.27,0.84,1.03,69.34,8.12,34.98,0.89,177.62,267.27,5.93,0,0,0
event_driven,hybrid,async,9,1,79.15,29.16,0.82,1.97,0.0,20.11,15.76,0.0,118.28,174.57,0.0,0,0,0
serverless,hybrid,sync,33,1,95.51,44.19,0.52,2.35,3.27,24.28,10.91,0.0,127.47,266.63,0.01,0,0,0
microservices,cloud,mixed,16,1,224.27,16.1,0.66,1.96,12.03,25.66,8.38,0.04,128.42,243.82,0.28,0,0,0
hybrid,on_prem,async,11,1,150.56,89.54,0.59,3.7,14.25,60.67,15.03,0.32,204.19,417.66,1.01,0,0,0
event_driven,cloud,async,50,2,84.48,97.84,0.51,2.91,1.19,87.9,23.5,0.0,195.56,301.62,0.0,0,0,0
event_driven,hybrid,mixed,45,2,185.79,74.45,0.74,3.89,17.83,49.32,9.85,0.0,138.75,285.29,0.35,0,0,0
event_driven,hybrid,async,44,2,253.44,3.08,0.71,3.4,18.16,12.92,19.09,0.75,141.08,204.92,2.02,0,0,0
monolith,hybrid,async,1,1,121.09,62.19,0.69,1.45,16.19,54.73,34.42,0.7,125.9,171.1,1.5,0,0,0
hybrid,cloud,mixed,56,4,141.73,14.29,0.85,3.17,15.03,15.4,40.09,1.35,297.0,530.03,3.51,0,0,0
monolith,cloud,sync,2,1,95.67,52.16,0.53,3.79,8.59,43.49,15.37,0.98,89.67,123.96,1.83,0,0,0
event_driven,cloud,mixed,52,3,296.45,48.5,0.82,3.87,28.34,35.07,1.44,0.83,116.67,143.17,2.7,0,0,0
monolith,on_prem,async,4,1,66.2,2.45,0.88,2.27,0.0,0.0,8.17,0.0,48.17,95.75,0.0,0,0,0
microservices,cloud,mixed,51,2,176.15,81.33,0.75,3.14,11.07,73.56,62.16,0.94,379.88,783.63,2.59,0,0,0
serverless,cloud,sync,33,1,58.66,32.19,0.54,2.17,9.08,44.76,64.53,0.5,254.83,398.98,1.52,0,0,0
microservices,cloud,mixed,9,1,203.17,7.51,0.42,1.73,12.0,9.97,15.16,0.0,145.51,284.76,0.19,0,0,0
hybrid,on_prem,sync,54,2,212.53,91.25,0.62,3.74,17.85,76.02,14.51,1.2,218.75,368.77,3.25,0,0,0
event_driven,hybrid,sync,20,1,216.85,9.01,0.78,2.9,20.06,9.48,62.37,0.49,271.29,326.47,1.53,0,0,0
microservices,on_prem,mixed,33,1,395.65,55.61,0.68,1.7,26.81,37.93,68.05,0.0,394.52,800.75,0.93,0,0,0
hybrid,hybrid,async,59,4,99.68,118.31,0.41,1.1,0.0,100.0,30.45,0.05,302.63,411.27,0.11,0,0,0
monolith,hybrid,mixed,1,1,64.08,17.75,0.59,2.45,7.33,3.26,19.26,0.0,65.83,105.26,0.05,0,0,0
serverless,on_prem,async,49,3,70.51,90.33,0.47,2.38,3.37,60.98,55.16,1.18,243.89,489.31,3.32,0,0,0
monolith,hybrid,sync,2,1,84.36,32.62,0.56,2.38,8.81,26.55,41.22,0.0,103.34,154.35,0.07,0,0,0
event_driven,hybrid,mixed,47,3,57.64,135.79,0.5,3.53,5.72,100.0,11.23,0.09,172.91,228.0,0.24,0,0,0
event_driven,hybrid,async,38,2,123.92,136.49,0.63,2.48,8.67,96.82,31.81,0.0,234.55,352.21,0.08,0,0,0
microservices,on_prem,sync,52,3,167.61,76.41,0.6,3.7,2.52,59.08,24.2,0.0,208.21,295.81,0.01,0,0,0
serverless,hybrid,sync,21,1,388.66,17.74,0.65,3.41,27.95,16.67,15.85,1.04,160.84,274.45,4.0,0,0,0
monolith,on_prem,mixed,2,1,192.26,34.86,0.81,3.63,19.08,38.36,69.21,0.0,151.56,184.87,0.33,0,0,0
microservices,on_prem,async,46,3,218.96,41.93,0.84,2.96,16.68,26.13,1.36,0.16,106.01,214.71,0.77,0,0,0
event_driven,cloud,mixed,38,2,142.8,76.35,0.65,1.84,10.4,71.03,11.53,0.76,152.97,302.45,1.79,0,0,0
monolith,cloud,sync,4,1,81.78,66.39,0.94,1.38,4.26,47.92,52.55,0.0,126.36,154.55,0.02,0,0,0
hybrid,hybrid,mixed,30,1,486.97,128.43,0.92,1.83,38.88,100.0,2.12,0.22,207.57,431.06,2.35,0,0,0
monolith,on_prem,async,4,1,33.62,45.98,0.77,2.81,3.64,42.19,87.91,0.0,156.81,219.3,0.01,0,0,0
serverless,cloud,async,37,1,62.53,23.33,0.48,2.68,2.67,18.78,18.16,1.04,137.88,185.61,2.92,0,0,0
hybrid,on_prem,mixed,8,1,213.52,98.96,0.81,1.55,14.33,77.72,5.66,0.25,171.72,213.56,0.85,0,0,0
event_driven,on_prem,mixed,48,2,62.3,141.14,0.58,2.38,0.0,100.0,48.0,0.0,279.36,516.9,0.0,0,0,0
hybrid,on_prem,async,50,4,287.65,107.85,0.6,2.68,24.21,86.76,56.42,0.66,445.84,898.93,2.28,0,0,0
microservices,cloud,mixed,53,4,107.05,105.91,0.8,2.63,15.63,83.07,32.25,0.0,273.59,513.25,0.32,0,0,0
event_driven,cloud,mixed,17,1,79.02,108.26,0.91,1.49,7.24,100.0,10.14,0.18,171.02,346.95,0.44,0,0,0
monolith,hybrid,async,1,1,268.26,75.87,0.54,3.55,28.96,64.35,36.24,0.89,152.44,244.31,2.37,0,0,0
microservices,cloud,async,37,1,153.24,26.25,0.53,1.36,15.59,13.43,5.13,0.54,111.5,166.74,1.73,0,0,0
monolith,hybrid,async,4,1,110.38,145.74,0.79,2.97,6.85,100.0,27.51,0.97,147.75,202.3,1.8,0,0,0
event_driven,cloud,sync,27,1,454.05,108.73,0.56,3.74,36.13,84.26,24.12,0.0,236.13,463.75,1.44,0,0,0
serverless,cloud,async,12,1,234.19,36.23,0.76,3.15,18.91,32.36,43.89,0.27,215.51,400.67,1.25,0,0,0
event_driven,on_prem,sync,22,1,357.27,54.4,0.84,1.3,38.22,36.85,34.61,0.86,232.18,470.29,3.49,0,0,0
monolith,on_prem,async,4,1,116.48,33.31,0.7,1.44,6.33,27.52,17.92,0.52,78.34,105.76,0.97,0,0,0
monolith,on_prem,mixed,1,1,92.55,33.49,0.49,1.33,0.32,11.28,10.64,1.12,56.22,98.02,2.02,0,0,0
monolith,on_prem,mixed,2,1,558.79,112.27,0.48,1.01,41.41,78.4,6.5,0.59,153.39,189.76,2.6,0,0,0
monolith,hybrid,sync,3,1,190.69,97.71,0.84,2.78,10.0,80.07,69.75,0.04,175.44,321.08,0.16,0,0,0
event_driven,hybrid,sync,20,1,141.56,33.04,0.58,1.86,16.86,13.69,25.22,0.33,158.33,201.7,1.05,0,0,0
event_driven,cloud,mixed,28,1,284.41,13.14,0.52,2.96,25.82,4.38,16.0,0.52,137.17,190.62,1.88,0,0,0
monolith,cloud,mixed,2,1,193.71,4.32,0.61,3.74,18.28,0.0,9.57,0.83,67.05,123.83,1.8,0,0,0
serverless,hybrid,sync,23,1,170.76,93.75,0.66,2.89,13.27,65.85,40.0,0.49,227.18,450.69,1.62,0,0,0
event_driven,hybrid,mixed,7,1,29.15,60.17,0.79,1.72,5.53,48.9,56.77,0.93,265.95,436.06,2.09,0,0,0
event_driven,hybrid,async,36,2,443.76,134.54,0.59,3.72,33.39,100.0,9.99,0.58,203.6,375.49,2.5,0,0,0
hybrid,on_prem,async,20,1,182.3,94.52,0.61,3.88,17.33,84.46,49.36,0.68,399.62,763.97,1.99,0,0,0
event_driven,on_prem,async,12,1,86.26,127.86,0.67,2.9,16.94,100.0,15.27,1.55,197.02,391.58,3.72,0,0,0
event_driven,cloud,async,7,1,256.45,37.61,0.77,3.34,22.45,47.79,24.94,0.84,188.71,260.77,2.4,0,0,0
hybrid,on_prem,async,53,2,142.37,49.31,0.79,3.33,11.8,56.38,106.83,0.47,656.95,792.28,1.3,0,0,0
monolith,cloud,async,3,1,120.53,99.88,0.81,2.59,15.49,83.13,27.41,1.23,141.87,228.82,2.43,0,0,0
serverless,on_prem,mixed,27,1,273.06,71.49,0.68,2.94,28.36,62.05,12.03,0.49,187.51,368.92,2.51,0,0,0
serverless,cloud,async,18,1,100.58,11.96,0.57,3.31,10.68,14.83,0.54,0.18,107.4,204.95,0.66,0,0,0
event_driven,hybrid,mixed,45,3,362.61,8.84,0.63,1.58,30.59,0.0,135.28,0.6,500.0,659.67,2.35,0,0,0
hybrid,hybrid,mixed,59,1,154.78,86.76,0.54,1.65,16.52,71.39,14.27,0.04,211.95,260.96,0.42,0,0,0
event_driven,cloud,async,34,2,154.65,20.81,0.6,3.03,10.0,7.68,4.96,1.15,86.31,178.02,2.65,0,0,0
microservices,cloud,sync,18,1,197.05,53.67,0.82,3.51,12.57,52.96,46.64,0.93,302.44,475.47,2.63,0,0,0
monolith,on_prem,async,3,1,30.23,39.97,0.57,3.74,5.65,37.58,3.04,0.43,70.12,104.23,0.81,0,0,0
hybrid,hybrid,mixed,58,1,50.63,63.49,0.91,1.9,8.24,62.08,8.61,1.82,166.79,233.81,4.44,0,0,0
microservices,cloud,mixed,11,1,309.48,142.11,0.91,3.2,22.84,100.0,19.85,0.0,248.11,519.67,0.68,0,0,0
monolith,hybrid,mixed,3,1,453.25,15.37,0.91,3.64,39.67,18.66,13.25,0.12,111.16,231.19,1.63,0,0,0
microservices,hybrid,sync,13,1,187.64,100.61,0.51,1.79,13.88,76.15,5.42,0.0,158.24,268.96,0.25,0,0,0
event_driven,on_prem,mixed,34,1,121.11,16.21,0.55,2.09,6.82,10.17,19.94,0.0,129.53,180.12,0.05,0,0,0
monolith,cloud,sync,4,1,220.93,77.88,0.8,2.91,15.8,67.69,27.38,0.83,129.02,157.69,1.71,0,0,0
microservices,on_prem,async,37,1,94.98,47.19,0.75,2.32,0.0,48.29,0.62,0.17,103.92,169.52,0.45,0,0,0
microservices,on_prem,mixed,17,1,126.29,17.21,0.57,1.03,13.15,13.2,13.04,0.0,140.18,241.92,0.22,0,0,0
microservices,on_prem,async,24,1,24.16,113.96,0.63,3.49,8.57,100.0,49.87,1.44,351.38,422.0,3.85,0,0,0
hybrid,on_prem,async,30,2,199.95,17.32,0.71,3.02,18.26,3.45,10.54,0.0,146.47,208.75,0.4,0,0,0
monolith,hybrid,sync,2,1,408.5,104.36,0.92,2.94,26.52,95.6,94.95,0.68,234.71,454.43,1.87,0,0,0
monolith,on_prem,async,2,1,103.45,115.44,0.53,3.91,8.97,92.53,74.81,0.28,190.4,250.31,0.57,0,0,0
microservices,cloud,async,34,2,59.83,50.64,0.73,1.43,12.64,46.88,25.12,0.0,211.67,377.98,0.21,0,0,0
hybrid,cloud,async,30,2,171.9,100.07,0.62,3.23,7.54,97.39,7.12,0.13,189.13,261.41,0.39,0,0,0
event_driven,cloud,async,51,2,189.61,120.82,0.46,3.77,11.97,94.56,2.13,0.0,146.94,213.83,0.16,0,0,0
serverless,hybrid,mixed,16,1,208.44,89.18,0.65,3.53,21.11,79.52,19.97,0.0,208.27,250.78,0.62,0,0,0
monolith,cloud,sync,3,1,96.14,71.0,0.91,1.2,10.92,53.39,1.08,0.54,85.52,110.96,1.08,0,0,0
hybrid,on_prem,async,22,1,33.12,77.76,0.63,3.17,0.0,65.48,93.82,0.0,589.44,1072.96,0.0,0,0,0
event_driven,hybrid,mixed,49,3,102.32,99.26,0.86,1.56,4.62,78.62,23.24,0.0,189.12,250.35,0.02,0,0,0
monolith,on_prem,sync,1,1,67.4,97.84,0.78,2.38,11.13,82.93,7.65,0.11,117.02,183.69,0.31,0,0,0
monolith,on_prem,async,2,1,48.95,83.87,0.4,1.18,9.85,59.67,46.3,0.67,134.68,195.53,1.29,0,0,0
monolith,on_prem,mixed,1,1,94.8,23.18,0.73,1.7,7.42,19.72,6.32,0.37,62.47,130.27,0.72,0,0,0
event_driven,cloud,async,39,2,211.18,94.63,0.74,2.04,16.99,75.88,6.88,0.0,150.63,284.32,0.32,0,0,0
microservices,hybrid,sync,46,1,183.32,137.39,0.46,1.52,20.68,100.0,5.02,0.0,185.95,377.03,0.56,0,0,0
hybrid,cloud,mixed,30,1,427.08,45.62,0.78,3.75,45.99,34.44,66.65,0.62,487.24,917.05,4.03,0,0,0
serverless,cloud,async,15,1,163.52,101.58,0.56,3.13,9.25,79.96,119.72,0.57,394.27,755.56,1.73,0,0,0
event_driven,hybrid,mixed,53,3,50.19,101.92,0.45,1.14,6.42,85.08,17.79,0.24,179.94,262.43,0.57,0,0,0
serverless,cloud,mixed,39,1,149.58,93.21,0.54,2.77,8.04,87.06,74.44,0.11,308.7,475.86,0.39,0,0,0
serverless,on_prem,mixed,51,2,80.86,96.83,0.45,3.7,7.59,83.57,12.81,1.17,181.95,281.89,3.36,0,0,0
event_driven,on_prem,sync,11,1,305.66,32.2,0.78,2.51,30.69,22.21,10.44,0.2,138.01,171.52,1.48,0,0,0
event_driven,hybrid,mixed,54,4,105.63,105.17,0.61,3.81,8.27,100.0,74.75,0.58,365.83,570.96,1.35,0,0,0
event_driven,cloud,mixed,23,1,92.96,94.87,0.52,1.95,5.28,86.26,11.08,0.0,159.83,297.89,0.03,0,0,0
monolith,cloud,async,3,1,239.56,99.07,0.69,2.89,23.76,84.99,12.92,0.0,139.49,194.64,0.51,0,0,0
monolith,hybrid,sync,4,1,150.37,58.09,0.73,1.15,16.11,57.18,37.26,0.0,130.63,249.65,0.23,0,0,0
monolith,cloud,mixed,4,1,84.64,66.95,0.69,1.59,11.03,55.94,6.66,1.14,93.25,130.15,2.16,0,0,0
serverless,hybrid,sync,53,4,619.58,125.03,0.88,2.66,51.95,97.07,68.87,0.0,368.41,678.68,3.78,0,0,0
microservices,cloud,sync,14,1,41.37,142.97,0.91,1.49,6.37,100.0,11.21,0.29,194.65,380.63,0.81,0,0,0
serverless,on_prem,mixed,10,1,286.88,10.91,0.75,3.13,18.49,14.77,10.68,1.71,136.69,182.25,5.25,0,0,0
hybrid,cloud,sync,36,2,143.31,62.69,0.94,2.69,9.23,60.08,16.58,0.0,206.0,282.22,0.1,0,0,0
serverless,on_prem,sync,30,1,56.4,71.85,0.79,1.92,6.56,61.09,31.46,0.55,199.24,334.12,1.6,0,0,0
serverless,on_prem,mixed,29,1,135.23,40.96,0.68,1.26,15.8,27.45,29.12,0.0,178.68,303.88,0.35,0,0,0
monolith,cloud,async,3,1,539.05,107.9,0.51,3.27,34.17,93.3,6.15,0.29,154.91,247.64,1.58,0,0,0
monolith,hybrid,async,2,1,341.04,124.42,0.69,2.42,34.92,92.17,9.94,0.1,158.82,268.27,1.28,0,0,0
serverless,hybrid,sync,54,1,342.0,73.33,0.42,2.08,38.34,55.47,114.85,1.21,402.65,783.54,5.44,0,0,0
microservices,on_prem,mixed,25,1,111.75,111.91,0.52,1.45,9.52,100.0,6.45,0.63,178.64,242.53,1.76,0,0,0
monolith,hybrid,async,3,1,75.99,66.5,0.52,3.64,17.91,59.33,5.18,1.57,102.48,212.21,3.11,0,0,0
monolith,cloud,mixed,1,1,162.06,101.55,0.5,3.32,10.22,80.68,48.5,1.31,154.94,267.54,2.45,0,0,0
